,0
0,Punjab
1,Delhi
2,Bihar
3,Sikkim
4,Nagaland
5,Manipur
6,Mizoram
7,Tripura
8,Meghalaya
9,Assam
10,Jharkhand
11,Odisha
12,Chhattisgarh
13,Maharashtra
14,Telangana
15,Andhra_Pradesh
16,Karnataka
17,Kerala
18,Tamil_Nadu
